username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,42800,https://gtihub.com/freeCodeCamp/freeCodeCamp
Chalarangelo,30-seconds-of-code,12500,https://gtihub.com/Chalarangelo/30-seconds-of-code
electron,electron,11800,https://gtihub.com/electron/electron
nodejs,node,11300,https://gtihub.com/nodejs/node
axios,axios,10800,https://gtihub.com/axios/axios
goldbergyoni,nodebestpractices,10400,https://gtihub.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,8700,https://gtihub.com/nvm-sh/nvm
oven-sh,bun,8040,https://gtihub.com/oven-sh/bun
immich-app,immich,7709,https://gtihub.com/immich-app/immich
nestjs,nest,7270,https://gtihub.com/nestjs/nest
strapi,strapi,6959,https://gtihub.com/strapi/strapi
expressjs,express,6770,https://gtihub.com/expressjs/express
leonardomso,33-js-concepts,6559,https://gtihub.com/leonardomso/33-js-concepts
sindresorhus,awesome-nodejs,6270,https://gtihub.com/sindresorhus/awesome-nodejs
socketio,socket.io,6240,https://gtihub.com/socketio/socket.io
openinterpreter,open-interpreter,6050,https://gtihub.com/openinterpreter/open-interpreter
laurent22,joplin,5140,https://gtihub.com/laurent22/joplin
TryGhost,Ghost,5060,https://gtihub.com/TryGhost/Ghost
coollabsio,coolify,4520,https://gtihub.com/coollabsio/coolify
Asabeneh,30-Days-Of-JavaScript,4510,https://gtihub.com/Asabeneh/30-Days-Of-JavaScript
